Id,Date,City,State,County,Combined_Key,Lat,Long_,Population,deaths_prior,deaths_after,percent_change
46,2020-10-27,Omaha,NE,Douglas County,"Douglas, Nebraska, US",41.29518299,-96.15085305,571327.0,26.0,61.0,134.62
47,2020-10-28,Bullhead City,AZ,Mohave County,"Mohave, Arizona, US",35.70471703,-113.7577902,212181.0,3.0,23.0,666.67
48,2020-10-28,Goodyear,AZ,Maricopa County,"Maricopa, Arizona, US",33.34835867,-112.4918154,4485414.0,187.0,370.0,97.86
49,2020-10-29,Tampa,FL,Hillsborough County,"Hillsborough, Florida, US",27.9276559,-82.32013172,1471968.0,152.0,122.0,-19.74
50,2020-10-30,Waterford Township,MI,Oakland County,"Oakland, Michigan, US",42.66090111,-83.38595416,1257584.0,33.0,105.0,218.18
51,2020-10-30,Green Bay,WI,Brown County,"Brown, Wisconsin, US",44.4526553,-88.00411844,264542.0,49.0,19.0,-61.22
52,2020-10-30,Rochester,MN,Olmsted County,"Olmsted, Minnesota, US",44.00374114,-92.40209944,158293.0,2.0,4.0,100.0
53,2020-10-31,Newtown,PA,Bucks County,"Bucks, Pennsylvania, US",40.33682119,-75.10836643,628270.0,15.0,48.0,220.0
54,2020-10-31,Reading,PA,Berks County,"Berks, Pennsylvania, US",40.41570541,-75.92457766,421164.0,29.0,34.0,17.24
55,2020-10-31,Butler,PA,Butler County,"Butler, Pennsylvania, US",40.91152759,-79.91351055,187853.0,3.0,43.0,1333.33
56,2020-10-31,Montoursville,PA,Lycoming County,"Lycoming, Pennsylvania, US",41.34310539,-77.06629984,113299.0,6.0,6.0,-0.0
57,2020-11-01,Washington,MI,Macomb County,"Macomb, Michigan, US",42.69158356,-82.92752801,873972.0,66.0,169.0,156.06
58,2020-11-01,Dubuque,IA,Dubuque County,"Dubuque, Iowa, US",42.46815349,-90.88181925,97311.0,17.0,32.0,88.24
59,2020-11-01,Hickory,NC,Catawba County,"Catawba, North Carolina, US",35.66211129,-81.2132617,159551.0,9.0,23.0,155.56
60,2020-11-01,Rome,GA,Floyd County,"Floyd, Georgia, US",34.26268279,-85.21577392,98498.0,15.0,21.0,40.0
61,2020-11-01,Opa-locka,FL,Miami-Dade County,"Miami-Dade, Florida, US",25.6112362,-80.55170587,2716940.0,332.0,176.0,-46.99
62,2020-11-02,Fayetteville,NC,Cumberland County,"Cumberland, North Carolina, US",35.04762133,-78.82623165,335509.0,20.0,15.0,-25.0
63,2020-11-02,Scranton,PA,Lackawanna County,"Lackawanna, Pennsylvania, US",41.43564672,-75.60379201,209674.0,3.0,12.0,300.0
64,2020-11-02,Traverse City,MI,Grand Traverse County,"Grand Traverse, Michigan, US",44.69565625,-85.55585247,93088.0,5.0,5.0,-0.0
65,2020-11-02,Kenosha,WI,Kenosha County,"Kenosha, Wisconsin, US",42.57639354,-88.04051686,169561.0,29.0,48.0,65.52
66,2020-11-02,Grand Rapids,MI,Kent County,"Kent, Michigan, US",43.03197711,-85.54934642,656955.0,14.0,156.0,1014.29
